Sample_Window,Horizon,Beta,HAC_SE,z_stat,p_value,R_squared,N
5Y,1D,-0.0006174679902507244,0.0005746249742455597,-1.074558221318895,0.28257256516330853,0.0010481301963628509,1201
5Y,5D,-0.002818203358906555,0.0022229882056416343,-1.2677545259818956,0.20488562614144,0.004573311038343908,1197
5Y,20D,-0.013538528616787858,0.007496091319044907,-1.806078400137851,0.07090609422616898,0.032994330409581996,1182
5Y,60D,-0.038947479849835445,0.0106030004384159,-3.6732508006624434,0.00023948422197790656,0.09831537926462541,1142
5Y,90D,-0.040908432547051225,0.014357998937588129,-2.8491736714059868,0.004383294620947505,0.08486162433402167,1112
15Y,1D,-0.00019317167525790933,0.00044841774578131333,-0.4307850817128818,0.6666246478416729,6.840472613178772e-05,3624
15Y,5D,-0.0008658719073505992,0.001855306672013779,-0.46670015281665983,0.6407144204106181,0.0002743636901938462,3620
15Y,20D,-0.003826911126379989,0.006296134975180016,-0.607819105128154,0.5433074566088265,0.0014710112543838694,3605
15Y,60D,-0.009102738443085782,0.014427226741602465,-0.6309416637112283,0.5280786685294743,0.002771664284590747,3565
15Y,90D,5.6800294511182137e-05,0.022338323296365745,0.0025427286442945814,0.9979711982585988,7.753482667016698e-08,3535
